"","school","logo"
"1","Albany (NY)","https://cdn.d1baseball.com/logos/teams/256/albany.png"
"2","Binghamton","https://cdn.d1baseball.com/logos/teams/256/sunybing.png"
"3","Hartford","https://cdn.d1baseball.com/logos/teams/256/hartford.png"
"4","Maine","https://cdn.d1baseball.com/logos/teams/256/maine.png"
"5","Stony Brook","https://cdn.d1baseball.com/logos/teams/256/stonybrook.png"
"6","UMBC","https://cdn.d1baseball.com/logos/teams/256/umbc.png"
"7","UMass Lowell","https://cdn.d1baseball.com/logos/teams/256/umasslowell.png"
"8","Cincinnati","https://cdn.d1baseball.com/logos/teams/256/cincy.png"
"9","UConn","https://cdn.d1baseball.com/logos/teams/256/uconn.png"
"10","East Carolina","https://cdn.d1baseball.com/logos/teams/256/ecarolina.png"
"11","Houston","https://cdn.d1baseball.com/logos/teams/256/houston.png"
"12","Memphis","https://cdn.d1baseball.com/logos/teams/256/memphis.png"
"13","South Fla.","https://cdn.d1baseball.com/logos/teams/256/sflorida.png"
"14","Tulane","https://cdn.d1baseball.com/logos/teams/256/tulane.png"
"15","UCF","https://cdn.d1baseball.com/logos/teams/256/ucf.png"
"16","Wichita St.","https://cdn.d1baseball.com/logos/teams/256/wichitast.png"
"17","Davidson","https://cdn.d1baseball.com/logos/teams/256/davidson.png"
"18","Dayton","https://cdn.d1baseball.com/logos/teams/256/dayton.png"
"19","Fordham","https://cdn.d1baseball.com/logos/teams/256/fordham.png"
"20","George Mason","https://cdn.d1baseball.com/logos/teams/256/georgemas.png"
"21","George Washington","https://cdn.d1baseball.com/logos/teams/256/georgewash.png"
"22","La Salle","https://cdn.d1baseball.com/logos/teams/256/lasalle.png"
"23","Massachusetts","https://cdn.d1baseball.com/logos/teams/256/umass.png"
"24","Rhode Island","https://cdn.d1baseball.com/logos/teams/256/uri.png"
"25","Richmond","https://cdn.d1baseball.com/logos/teams/256/richmond.png"
"26","Saint Joseph's","https://cdn.d1baseball.com/logos/teams/256/stjosephs.png"
"27","Saint Louis","https://cdn.d1baseball.com/logos/teams/256/stlouis.png"
"28","St. Bonaventure","https://cdn.d1baseball.com/logos/teams/256/stbonny.png"
"29","VCU","https://cdn.d1baseball.com/logos/teams/256/vcu.png"
"30","FGCU","https://cdn.d1baseball.com/logos/teams/256/flgulfcst.png"
"31","Jacksonville","https://cdn.d1baseball.com/logos/teams/256/jacksonvil.png"
"32","Kennesaw St.","https://cdn.d1baseball.com/logos/teams/256/kennesawst.png"
"33","Liberty","https://cdn.d1baseball.com/logos/teams/256/liberty.png"
"34","Lipscomb","https://cdn.d1baseball.com/logos/teams/256/lipscomb.png"
"35","NJIT","https://cdn.d1baseball.com/logos/teams/256/njtech.png"
"36","North Ala.","https://cdn.d1baseball.com/logos/teams/256/northalabama.png"
"37","North Florida","https://cdn.d1baseball.com/logos/teams/256/nflorida.png"
"38","Stetson","https://cdn.d1baseball.com/logos/teams/256/stetson.png"
"39","Butler","https://cdn.d1baseball.com/logos/teams/256/butler.png"
"40","Creighton","https://cdn.d1baseball.com/logos/teams/256/creighton.png"
"41","Georgetown","https://cdn.d1baseball.com/logos/teams/256/georgetown.png"
"42","Seton Hall","https://cdn.d1baseball.com/logos/teams/256/setonhall.png"
"43","St. John's (NY)","https://cdn.d1baseball.com/logos/teams/256/stjohns.png"
"44","Villanova","https://cdn.d1baseball.com/logos/teams/256/villanova.png"
"45","Xavier","https://cdn.d1baseball.com/logos/teams/256/xavier.png"
"46","Campbell","https://cdn.d1baseball.com/logos/teams/256/campbell.png"
"47","Charleston So.","https://cdn.d1baseball.com/logos/teams/256/charlsouth.png"
"48","Gardner-Webb","https://cdn.d1baseball.com/logos/teams/256/gardwebb.png"
"49","High Point","https://cdn.d1baseball.com/logos/teams/256/highpoint.png"
"50","Longwood","https://cdn.d1baseball.com/logos/teams/256/longwood.png"
"51","Presbyterian","https://cdn.d1baseball.com/logos/teams/256/presbytrn.png"
"52","Radford","https://cdn.d1baseball.com/logos/teams/256/radford.png"
"53","UNC Asheville","https://cdn.d1baseball.com/logos/teams/256/uncashe.png"
"54","USC Upstate","https://cdn.d1baseball.com/logos/teams/256/uscupstate.png"
"55","Winthrop","https://cdn.d1baseball.com/logos/teams/256/winthrop.png"
"56","Cal Poly","https://cdn.d1baseball.com/logos/teams/256/calpoly.png"
"57","Cal St. Fullerton","https://cdn.d1baseball.com/logos/teams/256/calstfull.png"
